s_no,state,district,block_name,categorization
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,safe
2,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,safe
3,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,safe
4,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,safe
5,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,safe
6,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NANCOWRY,safe
7,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,safe
8,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,safe
9,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,safe
10,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA,safe
11,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,safe
12,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY,safe
13,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,safe
14,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTUR,safe
15,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM,safe
16,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA,safe
17,ANDHRA PRADESH,Alluri Sitharama Raju,GANGARAJU MADUGULA,safe
18,ANDHRA PRADESH,Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),safe
19,ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,safe
20,ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,safe
21,ANDHRA PRADESH,Alluri Sitharama Raju,KOYYURU,safe
22,ANDHRA PRADESH,Alluri Sitharama Raju,KUNAVARAM,safe
23,ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,safe
24,ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,safe
25,ANDHRA PRADESH,Alluri Sitharama Raju,NELLIPAKA,safe
26,ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,safe
27,ANDHRA PRADESH,Alluri Sitharama Raju,PEDABAYALU,safe
28,ANDHRA PRADESH,Alluri Sitharama Raju,RAJAVOMMANGI,safe
29,ANDHRA PRADESH,Alluri Sitharama Raju,RAMPACHODAVARAM,safe
30,ANDHRA PRADESH,Alluri Sitharama Raju,VARARAMACHANDRAPUR,safe
31,ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,safe
32,ANDHRA PRADESH,Anakapalli,ANAKAPALLE,safe
33,ANDHRA PRADESH,Anakapalli,ATCHUTAPURAM,safe
34,ANDHRA PRADESH,Anakapalli,BUTCHAYYAPETA,safe
35,ANDHRA PRADESH,Anakapalli,CHEEDIKADA,safe
36,ANDHRA PRADESH,Anakapalli,CHODAVARAM,safe
37,ANDHRA PRADESH,Anakapalli,DEVARAPALLE (ANAKAPALLI),safe
38,ANDHRA PRADESH,Anakapalli,GOLUGONDA,safe
39,ANDHRA PRADESH,Anakapalli,K KOTAPADU,safe
40,ANDHRA PRADESH,Anakapalli,KASIMKOTA,safe
41,ANDHRA PRADESH,Anakapalli,KOTAURATLA,safe
42,ANDHRA PRADESH,Anakapalli,MADUGULA,safe
43,ANDHRA PRADESH,Anakapalli,MAKAVARAPALEM,safe
44,ANDHRA PRADESH,Anakapalli,MUNAGAPAKA,safe
45,ANDHRA PRADESH,Anakapalli,NAKKAPALLE,safe
46,ANDHRA PRADESH,Anakapalli,NARSIPATNAM,safe
47,ANDHRA PRADESH,Anakapalli,NATHAVARAM,safe
48,ANDHRA PRADESH,Anakapalli,PARAVADA,safe
49,ANDHRA PRADESH,Anakapalli,PAYAKARAOPETA,safe
50,ANDHRA PRADESH,Anakapalli,RAMBILLI,safe
51,ANDHRA PRADESH,Anakapalli,RAVIKAMATHAM,safe
52,ANDHRA PRADESH,Anakapalli,ROLUGUNTA,safe
53,ANDHRA PRADESH,Anakapalli,S RAYAVARAM,safe
54,ANDHRA PRADESH,Anakapalli,SABBAVARAM,safe
55,ANDHRA PRADESH,Anakapalli,YELAMANCHILI (ANAKAPALLI),safe
56,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR RURAL,safe
57,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR URBAN,safe
58,ANDHRA PRADESH,Ananthapuramu,ATMAKUR,safe
59,ANDHRA PRADESH,Ananthapuramu,BELUGUPPA,safe
60,ANDHRA PRADESH,Ananthapuramu,BOMMANAHAL,safe
61,ANDHRA PRADESH,Ananthapuramu,BRAHMASAMUDRAM,safe
62,ANDHRA PRADESH,Ananthapuramu,BUKKARAYASAMUDRAM,safe
63,ANDHRA PRADESH,Ananthapuramu,D HIRCHAL,safe
64,ANDHRA PRADESH,Ananthapuramu,GARLADINNE,safe
65,ANDHRA PRADESH,Ananthapuramu,GOOTY,safe
66,ANDHRA PRADESH,Ananthapuramu,GUMMAGATTA,safe
67,ANDHRA PRADESH,Ananthapuramu,GUNTAKAL,safe
68,ANDHRA PRADESH,Ananthapuramu,KALYANDURG,safe
69,ANDHRA PRADESH,Ananthapuramu,KAMBADUR,safe
70,ANDHRA PRADESH,Ananthapuramu,KANEKAL,safe
71,ANDHRA PRADESH,Ananthapuramu,KUDAIR,safe
72,ANDHRA PRADESH,Ananthapuramu,KUNDURPI,safe
73,ANDHRA PRADESH,Ananthapuramu,NARPALA,semi_critical
74,ANDHRA PRADESH,Ananthapuramu,PAMIDI,safe
75,ANDHRA PRADESH,Ananthapuramu,PEDDAPAPPUR,safe
76,ANDHRA PRADESH,Ananthapuramu,PEDDAVADUGUR,safe
77,ANDHRA PRADESH,Ananthapuramu,PUTLUR,safe
78,ANDHRA PRADESH,Ananthapuramu,RAPTADU,safe
79,ANDHRA PRADESH,Ananthapuramu,RAYADURG,safe
80,ANDHRA PRADESH,Ananthapuramu,SETTUR,safe
81,ANDHRA PRADESH,Ananthapuramu,SINGANAMALA,safe
82,ANDHRA PRADESH,Ananthapuramu,TADPATRI,safe
83,ANDHRA PRADESH,Ananthapuramu,URAVAKONDA,safe
84,ANDHRA PRADESH,Ananthapuramu,VAJRAKARUR,safe
85,ANDHRA PRADESH,Ananthapuramu,VIDAPANAKAL,safe
86,ANDHRA PRADESH,Ananthapuramu,YADIKI,safe
87,ANDHRA PRADESH,Ananthapuramu,YELLANUR,safe
88,ANDHRA PRADESH,Annamayya,B KOTHAKOTA,safe
89,ANDHRA PRADESH,Annamayya,CHINNAMANDEM,semi_critical
90,ANDHRA PRADESH,Annamayya,CHITVEL,safe
91,ANDHRA PRADESH,Annamayya,GALIVEEDU,safe
92,ANDHRA PRADESH,Annamayya,GURRAMKONDA,safe
93,ANDHRA PRADESH,Annamayya,KALAKADA,safe
94,ANDHRA PRADESH,Annamayya,KALIKIRI,safe
95,ANDHRA PRADESH,Annamayya,KAMBHAMVARIPALLE,safe
96,ANDHRA PRADESH,Annamayya,KODUR,safe
97,ANDHRA PRADESH,Annamayya,KURABALAKOTA,safe
98,ANDHRA PRADESH,Annamayya,LAKKIREDDIPALLE,safe
99,ANDHRA PRADESH,Annamayya,MANDAPALLE,safe
100,ANDHRA PRADESH,Annamayya,MULAKALACHERUVU,safe
101,ANDHRA PRADESH,Annamayya,NANDALUR,safe
102,ANDHRA PRADESH,Annamayya,NIMMANAPALLE,safe
103,ANDHRA PRADESH,Annamayya,OBULAVARIPALLE,safe
104,ANDHRA PRADESH,Annamayya,PEDDAMANDYAM,safe
105,ANDHRA PRADESH,Annamayya,PEDDATHIPPASAMUDRA,safe
106,ANDHRA PRADESH,Annamayya,PENAGALURU,safe
107,ANDHRA PRADESH,Annamayya,PILERU,safe
108,ANDHRA PRADESH,Annamayya,PULLAMPETA,safe
109,ANDHRA PRADESH,Annamayya,RAJAMPET,safe
110,ANDHRA PRADESH,Annamayya,RAMAPURAM,safe
111,ANDHRA PRADESH,Annamayya,RAMASAMUDRAM,safe
112,ANDHRA PRADESH,Annamayya,ROYACHOTI,safe
113,ANDHRA PRADESH,Annamayya,SAMBEPALLE,safe
114,ANDHRA PRADESH,Annamayya,T SUNDUPALLE,safe
115,ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,safe
116,ANDHRA PRADESH,Annamayya,VALMIKIPURAM,safe
117,ANDHRA PRADESH,Annamayya,VEERABALLE,safe
118,ANDHRA PRADESH,Bapatla,ADDANKI,safe
119,ANDHRA PRADESH,Bapatla,AMRUTHALUR,safe
120,ANDHRA PRADESH,Bapatla,BALLIKURUVA,safe
121,ANDHRA PRADESH,Bapatla,BAPATLA,safe
122,ANDHRA PRADESH,Bapatla,BHATTIPROLU,safe
123,ANDHRA PRADESH,Bapatla,CHERUKUPALLE,safe
124,ANDHRA PRADESH,Bapatla,CHINAGANJAM,safe
125,ANDHRA PRADESH,Bapatla,CHIRALA,safe
126,ANDHRA PRADESH,Bapatla,INKOLLU,safe
127,ANDHRA PRADESH,Bapatla,JANAKAVARAMPANGULU,safe
129,ANDHRA PRADESH,Bapatla,KARLAPALEM,safe
130,ANDHRA PRADESH,Bapatla,KOLLUR,safe
131,ANDHRA PRADESH,Bapatla,KORISAPADU,safe
132,ANDHRA PRADESH,Bapatla,MARTUR,safe
133,ANDHRA PRADESH,Bapatla,NAGARAM,safe
134,ANDHRA PRADESH,Bapatla,NIZAMPATNAM,safe
135,ANDHRA PRADESH,Bapatla,PARCHUR,safe
136,ANDHRA PRADESH,Bapatla,PITTALAVANIPALEM,safe
