S. No,District,S. No,Name of Semi-critical Assessment Units,S. No,Name of Critical Assessment Units,S. No,Name of Overexploited Assessment Units,Total
1,Delhi,1,Seelampur,1,Kotwali,1,Karol Bagh,
,,2,Saraswati Vihar,2,Gandhi Nagar,2,Mayur Vihar,
,,,,3,Preet Vihar,3,Delhi Cantonment,
,,,,4,Model Town,4,Chanakyapuri,
,,,,5,Alipur,5,Vasant Vihar,
,,,,6,Seemapuri,6,Narela,
,,,,7,Hauz Khas,7,Yamuna Vihar,
,,,,8,Kalkaji,8,Karawal Nagar,
,,,,9,Defence Colony,9,Vivek Vihar,
,,,,10,Sarita Vihar,10,Shahdara,
,,,,11,Dwarka,11,Mehrauli,
,,,,12,Patel Nagar,12,Saket,
,,,,13,Punjabi Bagh,13,Kapashera,
,,,,,,14,Rajouri Garden,
2,Chennai,1,Alandur,,,1,Ambattur,
,,,,,,2,Aminjikarai,
,,,,,,3,Ayanavaram,
,,,,,,4,Egmore,
,,,,,,5,Guindy,
,,,,,,6,Maduravoyal,
,,,,,,7,Mambalam,
,,,,,,8,Mylapore,
,,,,,,9,Perambur,
,,,,,,10,Purasaivakkam,
,,,,,,11,Thiruvottiyur,
,,,,,,12,Tondiarpet,
,,,,,,13,Velacheri,
3,Bengaluru Urban,,,,,1,Bangalore-East,
,,,,,,2,Bangalore-South,
,,,,,,3,Yelahanka,
,,,,,,4,Bangalore-City,
,,,,,,5,Anekal,
,,,,,,6,Bangalore (North),
4,Ahmedabad,1,Bavla,1,Mandal,1,Ahmedabad City & Das,
,,2,Ahmedabad Urban,,,,,
5,Pune,1,Ambegaon,1,Shirur,,,
,,2,Junnar,,,,,
,,3,Daund,,,,,
,,4,Khed,,,,,
6,Hyderabad,1,Tirumalgiri,1,Maredpally,1,Charminar,
,,,,2,Bandlaguda,2,Amberpet,
,,,,3,Bahadurpura,3,Golkonda,
,,,,4,Nampally,4,Asifnagar,
,,,,,,5,Musheerabad,
,,,,,,6,Saidabad,
,,,,,,7,Khairatabad,
,,,,,,8,Shaikpet,
,,,,,,9,Secunderabad,
,,,,,,10,Ammerpet,
,,,,,,11,Himayatnagar,
